id,intakedate,intakereason,sheltercode,animalname,breedname,speciesname,animalage,gender,movementdate,typeofmovement,returndate,returnreason
10001,1/15/2023,Abandoned,S001,Bella,Golden Retriever,Dog,4 years 2 months,Female,1/20/2023,Adoption,3/1/2023,No longer able to care for
10002,1/16/2023,Stray,S002,Unnamed,Labrador Retriever,Dog,2 years 5 months,Male,1/22/2023,Foster,2/25/2023,Health issues
10003,1/17/2023,Moving,S003,Whiskers,Domestic Short Hair,Cat,3 years 0 months,Male,1/23/2023,Adoption,,
10004,1/18/2023,Incompatible with owner lifestyle,S004,Duke,German Shepherd,Dog,5 years 7 months,Male,1/25/2023,Adoption,3/10/2023,Too energetic
10005,1/19/2023,Abandoned,S005,Luna,Domestic Long Hair,Cat,2 years 3 months,Female,1/30/2023,Foster,2/20/2023,Allergies to pets
10006,1/20/2023,Injured Wildlife,S006,Ollie,Opossum,Opossum,1 year 1 month,Male,1/21/2023,Transfer,,
10007,1/21/2023,Stray,S007,Unnamed,Pitbull,Dog,6 years 4 months,Female,1/27/2023,Adoption,,
10008,1/22/2023,Abandoned,S008,Rocky,Beagle,Dog,3 years 9 months,Male,1/29/2023,Adoption,3/5/2023,Moved to a no-pets apartment
10009,1/23/2023,Moving,S009,Bella,Domestic Short Hair,Cat,2 years 6 months,Female,2/1/2023,Adoption,3/15/2023,New baby in the family
10010,1/24/2023,Incompatible with owner lifestyle,S010,Leo,Rottweiler,Dog,4 years 1 month,Male,1/28/2023,Foster,3/10/2023,Behavioral issues
10011,2/1/2023,Stray,S011,Unnamed,American Shorthair,Cat,5 years 0 months,Male,2/5/2023,Adoption,,
10012,2/2/2023,Abandoned,S012,Binky,Holland Lop,Rabbit,1 year 2 months,Female,2/10/2023,Adoption,,
10013,2/3/2023,Found injured,S013,Snowball,Dwarf Hamster,Hamster,6 months 0 days,Male,2/7/2023,Adoption,,
10014,2/4/2023,Stray,S014,Unnamed,Burmese,Cat,3 years 4 months,Female,2/10/2023,Adoption,3/15/2023,Unable to integrate with other pets
10015,2/5/2023,Owner passed away,S015,Charlie,Golden Retriever,Dog,7 years 5 months,Male,2/12/2023,Adoption,,
10016,2/6/2023,Stray,S016,Unnamed,Persian,Cat,2 years 0 months,Female,2/14/2023,Foster,2/28/2023,Found a friend to adopt
10017,2/7/2023,Abandoned,S017,Nibbles,Rex Rabbit,Rabbit,4 years 3 months,Male,2/13/2023,Adoption,,
10018,2/8/2023,Stray,S018,Unnamed,Beagle,Dog,5 years 8 months,Female,2/15/2023,Adoption,3/20/2023,New allergies
10019,2/9/2023,Found injured,S019,Coco,Siamese,Cat,2 years 0 months,Female,2/11/2023,Foster,,
10020,2/10/2023,Stray,S020,Unnamed,American Bulldog,Dog,3 years 5 months,Male,2/12/2023,Adoption,3/12/2023,Moving to a pet-free home
10021,2/11/2023,Incompatible with owner lifestyle,S021,Fluffy,Maine Coon,Cat,6 years 2 months,Female,2/18/2023,Adoption,3/15/2023,Allergies
10022,2/12/2023,Abandoned,S022,Unnamed,Dutch,Rabbit,2 years 0 months,Male,2/19/2023,Foster,3/2/2023,Owner had health issues
10023,2/13/2023,Stray,S023,Unnamed,Cocker Spaniel,Dog,1 year 8 months,Female,2/20/2023,Adoption,,
10024,2/14/2023,Owner passed away,S024,Gizmo,Abyssinian,Hamster,1 year 5 months,Male,2/21/2023,Adoption,,
10025,2/15/2023,Abandoned,S025,Unnamed,Tortoise,Tortoise,10 years 0 months,Male,2/22/2023,Adoption,3/5/2023,Relocation
10026,2/16/2023,Stray,S026,Unnamed,Bengal,Cat,2 years 5 months,Female,2/23/2023,Adoption,3/12/2023,New allergies
10027,2/17/2023,Found injured,S027,Spot,Boxer,Dog,4 years 4 months,Male,2/24/2023,Foster,,
10028,2/18/2023,Abandoned,S028,Unnamed,Shih Tzu,Dog,6 years 0 months,Female,2/25/2023,Adoption,3/18/2023,No time for a pet
10029,2/19/2023,Moving,S029,Mittens,Domestic Short Hair,Cat,3 years 1 month,Male,2/26/2023,Adoption,3/22/2023,Allergic reactions
10030,2/20/2023,Stray,S030,Unnamed,Chihuahua,Dog,4 years 0 months,Female,2/28/2023,Adoption,3/25/2023,New job requires travel
10031,2/21/2023,Abandoned,S031,Ginger,Domestic Shorthair,Cat,2 years 4 months,Female,3/1/2023,Adoption,,
10032,2/22/2023,Found injured,S032,Unnamed,Bearded Dragon,Reptile,1 year 6 months,Male,3/5/2023,Adoption,,
10033,2/23/2023,Stray,S033,Unnamed,Poodle,Dog,5 years 3 months,Male,3/1/2023,Adoption,,
10034,2/24/2023,Owner passed away,S034,Daisy,Cockatiel,Bird,3 years 0 months,Female,3/2/2023,Adoption,,
10035,2/25/2023,Abandoned,S035,Unnamed,Great Dane,Dog,6 years 1 month,Male,3/3/2023,Adoption,3/30/2023,Family allergies
10036,2/26/2023,Stray,S036,Unnamed,Scottish Fold,Cat,3 years 2 months,Female,3/4/2023,Adoption,,
10037,2/27/2023,Moving,S037,Max,Doberman,Dog,2 years 5 months,Male,3/1/2023,Adoption,3/20/2023,Relocation
10038,2/28/2023,Abandoned,S038,Unnamed,Miniature Pinscher,Dog,4 years 0 months,Female,3/3/2023,Adoption,4/1/2023,Owner no longer able to care
10039,3/1/2023,Stray,S039,Unnamed,Sphynx,Cat,3 years 8 months,Male,3/5/2023,Adoption,,
10040,3/2/2023,Incompatible with owner lifestyle,S040,Snowy,Alaskan Malamute,Dog,2 years 1 month,Female,3/7/2023,Adoption,4/2/2023,Too large for apartment
10041,3/3/2023,Abandoned,S041,Unnamed,Coonhound,Dog,5 years 5 months,Male,3/10/2023,Adoption,,
10042,3/4/2023,Stray,S042,Unnamed,Tabby,Cat,4 years 4 months,Female,3/8/2023,Adoption,4/5/2023,New landlord restrictions
10043,3/5/2023,Found injured,S043,Teddy,Bichon Frise,Dog,3 years 6 months,Male,3/9/2023,Adoption,,
10044,3/6/2023,Stray,S044,Unnamed,Ragdoll,Cat,1 year 0 months,Female,3/10/2023,Adoption,4/10/2023,Allergic to cat hair
